# 05ClusterAnalysis_DBS.R
%	 212
%	 14
% Key	Time	Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	TotCases/1Mpop	Deaths/1Mpop	TotalTests	Tests/1Mpop	
67	2020-04-04	Falkland Islands	11	NaN	NaN	NaN	1	10	NaN	3161	NaN	137	39368
68	2020-03-18	Fiji	17	1	NaN	NaN	NaN	17	NaN	19	NaN	NaN	NaN
69	2020-01-28	Finland	3237	NaN	72	NaN	300	2865	75	584	13	48828	8813
70	2020-01-23	France	147863	NaN	17167	NaN	30955	99741	6457	2265	263	333807	5114
71	2020-03-06	French Guiana	86	NaN	NaN	NaN	51	35	1	288	NaN	NaN	NaN
72	2020-03-10	French Polynesia	55	NaN	NaN	NaN	NaN	55	1	196	NaN	920	3275
73	2020-03-12	Gabon	80	NaN	1	NaN	4	75	NaN	36	0.4	NaN	NaN
74	2020-03-16	Gambia	9	NaN	1	NaN	2	6	NaN	4	0.4	281	116
75	2020-02-25	Georgia	336	30	3	NaN	74	259	6	84	0.8	5027	1260
76	2020-01-26	Germany	134753	NaN	3804	NaN	77000	53949	4288	1608	45	1728357	20629
77	2020-03-11	Ghana	641	NaN	8	NaN	83	550	2	21	0.3	50719	1632
78	2020-03-02	Gibraltar	131	NaN	NaN	NaN	104	27	1	3888	NaN	1649	48945
79	2020-02-25	Greece	2192	NaN	102	NaN	269	1821	72	210	10	50771	4871
80	2020-03-15	Greenland	11	NaN	NaN	NaN	11	0	NaN	194	NaN	912	16065
81	2020-03-21	Grenada	14	NaN	NaN	NaN	NaN	14	2	124	NaN	92	818
82	2020-03-12	Guadeloupe	145	NaN	8	NaN	67	70	13	362	20	NaN	NaN
83	2020-03-12	Guatemala	196	16	5	NaN	19	172	3	11	0.3	7200	402
84	2020-03-12	Guinea	404	NaN	1	NaN	31	372	NaN	31	0.08	NaN	NaN
85	2020-03-24	Guinea-Bissau	43	NaN	NaN	NaN	NaN	43	NaN	22	NaN	1500	762
86	2020-03-11	Guyana	55	NaN	6	NaN	8	41	5	70	8	213	271
87	2020-03-19	Haiti	41	NaN	3	NaN	NaN	38	NaN	4	0.3	365	32
88	2020-03-10	Honduras	426	7	35	4	9	382	10	43	4	2012	203
89	2020-01-22	Hong Kong	1017	NaN	4	NaN	459	554	10	136	0.5	116273	15509
90	2020-03-03	Hungary	1652	73	142	8	199	1311	58	171	15	38489	3984
91	2020-02-27	Iceland	1727	NaN	8	NaN	1077	642	8	5061	23	37386	109558
92	2020-01-29	India	12456	86	423	1	1513	10520	NaN	9	0.3	274599	199
93	2020-03-01	Indonesia	5136	NaN	469	NaN	446	4221	NaN	19	2	36000	132
94	2020-02-18	Iran	76389	NaN	4777	NaN	49933	21679	3643	909	57	299204	3562
95	2020-02-21	Iraq	1415	NaN	79	NaN	812	524	NaN	35	2	46135	1147
96	2020-02-28	Ireland	12547	NaN	444	NaN	77	12026	158	2541	90	90646	18358
97	2020-03-18	Isle of Man	256	NaN	4	NaN	151	101	13	3011	47	2175	25578
98	2020-02-20	Israel	12591	90	140	10	2624	9827	174	1455	16	187250	21634
99	2020-01-29	Italy	165155	NaN	21645	NaN	38092	105418	3079	2732	358	1117404	18481
100	2020-03-10	Ivory Coast	654	NaN	6	NaN	146	502	NaN	25	0.2	NaN	NaN
101	2020-03-09	Jamaica	125	NaN	5	NaN	21	99	NaN	42	2	1391	470
102	2020-01-14	Japan	8626	NaN	178	NaN	901	7547	168	68	1	94236	745
103	2020-03-01	Jordan	401	NaN	7	NaN	250	144	5	39	0.7	20500	2009
104	2020-03-12	Kazakhstan	1341	46	16	NaN	240	1085	22	71	0.9	85735	4566
105	2020-03-12	Kenya	225	NaN	10	NaN	53	162	2	4	0.2	9630	179
106	2020-02-23	Kuwait	1405	NaN	3	NaN	206	1196	31	329	0.7	NaN	NaN
107	2020-03-17	Kyrgyzstan	466	17	5	NaN	91	370	5	71	0.8	26147	4008
108	2020-03-23	Laos	19	NaN	NaN	NaN	1	18	NaN	3	NaN	1235	170
109	2020-03-01	Latvia	666	NaN	5	NaN	44	617	3	353	3	29896	15850
110	2020-02-20	Lebanon	658	NaN	21	NaN	85	552	30	96	3	17260	2529
111	2020-03-15	Liberia	59	NaN	6	NaN	4	49	NaN	12	1	NaN	NaN
112	2020-03-23	Libya	48	NaN	1	NaN	11	36	NaN	7	0.1	634	92
113	2020-03-02	Liechtenstein	79	NaN	1	NaN	55	23	NaN	2072	26	900	23605
114	2020-02-27	Lithuania	1128	37	30	NaN	178	920	14	414	11	48537	17829
115	2020-02-28	Luxembourg	3373	NaN	69	NaN	526	2778	33	5388	110	30723	49080
116	2020-01-21	Macao	45	NaN	NaN	NaN	16	29	1	69	NaN	NaN	NaN
117	2020-03-19	Madagascar	110	NaN	NaN	NaN	29	81	1	4	NaN	NaN	NaN
118	2020-04-02	Malawi	16	NaN	2	NaN	NaN	14	1	0.8	0.1	343	18
119	2020-01-24	Malaysia	5072	NaN	83	NaN	2647	2342	56	157	3	87183	2694
120	2020-03-06	Maldives	23	1	NaN	NaN	16	7	NaN	43	NaN	2899	5363
121	2020-03-24	Mali	148	NaN	13	NaN	34	101	NaN	7	0.6	NaN	NaN
122	2020-03-06	Malta	399	NaN	3	NaN	82	314	4	904	7	20139	45611
123	2020-03-04	Martinique	158	NaN	8	NaN	73	77	17	421	21	NaN	NaN
124	2020-03-12	Mauritania	7	NaN	1	NaN	2	4	NaN	2	0.2	593	128
125	2020-03-17	Mauritius	324	NaN	9	NaN	65	250	3	255	7	8279	6510
126	2020-03-13	Mayotte	217	NaN	3	NaN	69	145	3	795	11	1500	5498
127	2020-02-27	Mexico	5847	448	449	43	2125	3273	207	45	3	40091	311
128	2020-03-06	Moldova	2049	NaN	46	NaN	171	1832	80	508	11	6271	1555
129	2020-02-27	Monaco	93	NaN	3	NaN	12	78	2	2370	76	NaN	NaN
